Rebalance Bikes To Station #,Rebalance Bikes From Station #
3518,336
533,161
393,128
3374,248
473,415
3314,324
143,390
3107,3112
3416,243
445,251
3402,3246
483,546
289,239
3082,3093
3364,3409
127,3256
3536,3132
266,303
3164,469
3328,464
3096,455
3286,522
3376,164
3357,228
3521,440
2009,355
3290,489
399,323
3166,388
3146,116
3354,2000
3355,434
3387,268
3160,2010
